project_slug,floor_slug,slug,code,rooms,type,status,totalNP,totalNKP,floorPlanImage,pdfFile,positionImage
city-garden-lamela-5,sprat-5,l5-stan-25,S25,2-sobni,Stan,slobodno,45.13,48.26,/images/projekti/city-garden-lamela-5/stanovi/s01.jpg,/pdfs/l5-s01.pdf,/images/projekti/city-garden-lamela-5/stanovi/s01-pozicija.jpg
city-garden-lamela-5,sprat-6,l5-stan-31,S31,2-sobni,Stan,slobodno,45.13,48.26,/images/projekti/city-garden-lamela-5/stanovi/s01.jpg,/pdfs/l5-s01.pdf,/images/projekti/city-garden-lamela-5/stanovi/s01-pozicija.jpg
city-garden-lamela-5,sprat-1,l5-stan-02,S02,2-sobni,Stan,slobodno,43.06,45.84,/images/projekti/city-garden-lamela-5/stanovi/s02.jpg,/pdfs/l5-s02.pdf,/images/projekti/city-garden-lamela-5/stanovi/s02-pozicija.jpg
city-garden-lamela-5,sprat-2,l5-stan-08,S08,2-sobni,Stan,slobodno,43.06,45.84,/images/projekti/city-garden-lamela-5/stanovi/s02.jpg,/pdfs/l5-s02.pdf,/images/projekti/city-garden-lamela-5/stanovi/s02-pozicija.jpg
city-garden-lamela-5,sprat-3,l5-stan-14,S14,2-sobni,Stan,slobodno,43.06,45.84,/images/projekti/city-garden-lamela-5/stanovi/s02.jpg,/pdfs/l5-s02.pdf,/images/projekti/city-garden-lamela-5/stanovi/s02-pozicija.jpg
city-garden-lamela-5,sprat-4,l5-stan-20,S20,2-sobni,Stan,slobodno,43.06,45.84,/images/projekti/city-garden-lamela-5/stanovi/s02.jpg,/pdfs/l5-s02.pdf,/images/projekti/city-garden-lamela-5/stanovi/s02-pozicija.jpg
city-garden-lamela-5,sprat-5,l5-stan-26,S26,2-sobni,Stan,slobodno,43.06,45.84,/images/projekti/city-garden-lamela-5/stanovi/s02.jpg,/pdfs/l5-s02.pdf,/images/projekti/city-garden-lamela-5/stanovi/s02-pozicija.jpg
city-garden-lamela-5,sprat-6,l5-stan-32,S32,2-sobni,Stan,slobodno,43.06,45.84,/images/projekti/city-garden-lamela-5/stanovi/s02.jpg,/pdfs/l5-s02.pdf,/images/projekti/city-garden-lamela-5/stanovi/s02-pozicija.jpg
city-garden-lamela-5,sprat-1,l5-stan-03,S03,3-sobni,Stan,slobodno,59.18,67.60,/images/projekti/city-garden-lamela-5/stanovi/s03.jpg,/pdfs/l5-s03.pdf,/images/projekti/city-garden-lamela-5/stanovi/s03-pozicija.jpg
city-garden-lamela-5,sprat-2,l5-stan-09,S09,3-sobni,Stan,slobodno,59.18,67.60,/images/projekti/city-garden-lamela-5/stanovi/s03.jpg,/pdfs/l5-s03.pdf,/images/projekti/city-garden-lamela-5/stanovi/s03-pozicija.jpg
city-garden-lamela-5,sprat-3,l5-stan-15,S15,3-sobni,Stan,slobodno,59.18,67.60,/images/projekti/city-garden-lamela-5/stanovi/s03.jpg,/pdfs/l5-s03.pdf,/images/projekti/city-garden-lamela-5/stanovi/s03-pozicija.jpg
city-garden-lamela-5,sprat-4,l5-stan-21,S21,3-sobni,Stan,slobodno,59.18,67.60,/images/projekti/city-garden-lamela-5/stanovi/s03.jpg,/pdfs/l5-s03.pdf,/images/projekti/city-garden-lamela-5/stanovi/s03-pozicija.jpg
city-garden-lamela-5,sprat-5,l5-stan-27,S27,3-sobni,Stan,slobodno,59.18,67.60,/images/projekti/city-garden-lamela-5/stanovi/s03.jpg,/pdfs/l5-s03.pdf,/images/projekti/city-garden-lamela-5/stanovi/s03-pozicija.jpg
city-garden-lamela-5,sprat-6,l5-stan-33,S33,3-sobni,Stan,slobodno,59.18,67.60,/images/projekti/city-garden-lamela-5/stanovi/s03.jpg,/pdfs/l5-s03.pdf,/images/projekti/city-garden-lamela-5/stanovi/s03-pozicija.jpg
city-garden-lamela-5,sprat-1,l5-stan-04,S04,2-sobni,Stan,slobodno,41.93,50.41,/images/projekti/city-garden-lamela-5/stanovi/s04.jpg,/pdfs/l5-s04.pdf,/images/projekti/city-garden-lamela-5/stanovi/s04-pozicija.jpg
city-garden-lamela-5,sprat-2,l5-stan-10,S10,2-sobni,Stan,slobodno,41.93,50.41,/images/projekti/city-garden-lamela-5/stanovi/s04.jpg,/pdfs/l5-s04.pdf,/images/projekti/city-garden-lamela-5/stanovi/s04-pozicija.jpg
city-garden-lamela-5,sprat-3,l5-stan-16,S16,2-sobni,Stan,slobodno,41.93,50.41,/images/projekti/city-garden-lamela-5/stanovi/s04.jpg,/pdfs/l5-s04.pdf,/images/projekti/city-garden-lamela-5/stanovi/s04-pozicija.jpg
city-garden-lamela-5,sprat-4,l5-stan-22,S22,2-sobni,Stan,slobodno,41.93,50.41,/images/projekti/city-garden-lamela-5/stanovi/s04.jpg,/pdfs/l5-s04.pdf,/images/projekti/city-garden-lamela-5/stanovi/s04-pozicija.jpg
city-garden-lamela-5,sprat-5,l5-stan-28,S28,2-sobni,Stan,slobodno,41.93,50.41,/images/projekti/city-garden-lamela-5/stanovi/s04.jpg,/pdfs/l5-s04.pdf,/images/projekti/city-garden-lamela-5/stanovi/s04-pozicija.jpg
city-garden-lamela-5,sprat-6,l5-stan-34,S34,2-sobni,Stan,slobodno,41.93,50.41,/images/projekti/city-garden-lamela-5/stanovi/s04.jpg,/pdfs/l5-s04.pdf,/images/projekti/city-garden-lamela-5/stanovi/s04-pozicija.jpg
city-garden-lamela-5,sprat-1,l5-stan-05,S05,3-sobni,Stan,slobodno,45.49,51.27,/images/projekti/city-garden-lamela-5/stanovi/s05.jpg,/pdfs/l5-s05.pdf,/images/projekti/city-garden-lamela-5/stanovi/s05-pozicija.jpg
city-garden-lamela-5,sprat-2,l5-stan-11,S11,3-sobni,Stan,slobodno,45.49,51.27,/images/projekti/city-garden-lamela-5/stanovi/s05.jpg,/pdfs/l5-s05.pdf,/images/projekti/city-garden-lamela-5/stanovi/s05-pozicija.jpg
city-garden-lamela-5,sprat-3,l5-stan-17,S17,3-sobni,Stan,slobodno,45.49,51.27,/images/projekti/city-garden-lamela-5/stanovi/s05.jpg,/pdfs/l5-s05.pdf,/images/projekti/city-garden-lamela-5/stanovi/s05-pozicija.jpg
city-garden-lamela-5,sprat-4,l5-stan-23,S23,3-sobni,Stan,slobodno,45.49,51.27,/images/projekti/city-garden-lamela-5/stanovi/s05.jpg,/pdfs/l5-s05.pdf,/images/projekti/city-garden-lamela-5/stanovi/s05-pozicija.jpg
city-garden-lamela-5,sprat-5,l5-stan-29,S29,3-sobni,Stan,slobodno,45.49,51.27,/images/projekti/city-garden-lamela-5/stanovi/s05.jpg,/pdfs/l5-s05.pdf,/images/projekti/city-garden-lamela-5/stanovi/s05-pozicija.jpg
city-garden-lamela-5,sprat-1,l5-stan-06,S06,3-sobni,Stan,slobodno,62.99,66.16,/images/projekti/city-garden-lamela-5/stanovi/s06.jpg,/pdfs/l5-s06.pdf,/images/projekti/city-garden-lamela-5/stanovi/s06-pozicija.jpg
city-garden-lamela-5,sprat-2,l5-stan-12,S12,3-sobni,Stan,slobodno,62.99,66.16,/images/projekti/city-garden-lamela-5/stanovi/s06.jpg,/pdfs/l5-s06.pdf,/images/projekti/city-garden-lamela-5/stanovi/s06-pozicija.jpg
city-garden-lamela-5,sprat-3,l5-stan-18,S18,3-sobni,Stan,slobodno,62.99,66.16,/images/projekti/city-garden-lamela-5/stanovi/s06.jpg,/pdfs/l5-s06.pdf,/images/projekti/city-garden-lamela-5/stanovi/s06-pozicija.jpg
city-garden-lamela-5,sprat-4,l5-stan-24,S24,3-sobni,Stan,slobodno,62.99,66.16,/images/projekti/city-garden-lamela-5/stanovi/s06.jpg,/pdfs/l5-s06.pdf,/images/projekti/city-garden-lamela-5/stanovi/s06-pozicija.jpg
city-garden-lamela-5,sprat-5,l5-stan-30,S30,3-sobni,Stan,slobodno,62.99,66.16,/images/projekti/city-garden-lamela-5/stanovi/s06.jpg,/pdfs/l5-s06.pdf,/images/projekti/city-garden-lamela-5/stanovi/s06-pozicija.jpg
city-garden-lamela-5,sprat-6,l5-stan-35,S35,2-sobni,Stan,slobodno,34.20,36.86,/images/projekti/city-garden-lamela-5/stanovi/s35.jpg,/pdfs/l5-s35.pdf,/images/projekti/city-garden-lamela-5/stanovi/s35-pozicija.jpg
city-garden-lamela-5,sprat-6,l5-stan-36,S36,4-sobni,Stan,slobodno,73.78,79.76,/images/projekti/city-garden-lamela-5/stanovi/s36.jpg,/pdfs/l5-s36.pdf,/images/projekti/city-garden-lamela-5/stanovi/s36-pozicija.jpg
