project_slug,floor_slug,slug,code,rooms,type,status,totalNP,totalNKP,floorPlanImage,pdfFile,positionImage
naselje-ada,sprat-3,ada-stan-16,16,1-sobni,Stan,prodano,48.17,48.17,https://s2it.ba/images/flats/2.jpg,,
naselje-ada,sprat-3,ada-stan-17,17,2-sobni,Stan,prodano,69.54,69.54,https://s2it.ba/images/flats/3.jpg,,
naselje-ada,sprat-3,ada-stan-18,18,1-sobni,Stan,prodano,47.87,47.87,https://s2it.ba/images/flats/4.jpg,,
naselje-ada,sprat-3,ada-stan-19,19,3-sobni,Stan,prodano,85.41,85.41,https://s2it.ba/images/flats/5.jpg,,
naselje-ada,sprat-3,ada-stan-20,20,3-sobni,Stan,prodano,78.29,78.29,https://s2it.ba/images/flats/6.jpg,,
naselje-ada,sprat-3,ada-stan-21,21,1-sobni,Stan,prodano,44.58,44.58,https://s2it.ba/images/flats/7.jpg,,
naselje-ada,sprat-4,ada-stan-22,22,1-sobni,Stan,prodano,48.93,48.93,https://s2it.ba/images/flats/1.jpg,,
naselje-ada,sprat-4,ada-stan-23,23,1-sobni,Stan,prodano,48.17,48.17,https://s2it.ba/images/flats/2.jpg,,
naselje-ada,sprat-4,ada-stan-24,24,2-sobni,Stan,prodano,69.54,69.54,https://s2it.ba/images/flats/3.jpg,,
naselje-ada,sprat-4,ada-stan-25,25,1-sobni,Stan,prodano,47.87,47.87,https://s2it.ba/images/flats/4.jpg,,
naselje-ada,sprat-4,ada-stan-26,26,3-sobni,Stan,prodano,85.41,85.41,https://s2it.ba/images/flats/5.jpg,,
naselje-ada,sprat-4,ada-stan-27,27,3-sobni,Stan,prodano,78.29,78.29,https://s2it.ba/images/flats/6.jpg,,
naselje-ada,sprat-4,ada-stan-28,28,1-sobni,Stan,prodano,44.58,44.58,https://s2it.ba/images/flats/7.jpg,,
naselje-ada,sprat-5,ada-stan-29,29,1-sobni,Stan,prodano,48.93,48.93,https://s2it.ba/images/flats/1.jpg,,
naselje-ada,sprat-5,ada-stan-30,30,1-sobni,Stan,prodano,48.17,48.17,https://s2it.ba/images/flats/2.jpg,,
naselje-ada,sprat-5,ada-stan-31,31,2-sobni,Stan,prodano,69.54,69.54,https://s2it.ba/images/flats/3.jpg,,
naselje-ada,sprat-5,ada-stan-32,32,1-sobni,Stan,prodano,47.87,47.87,https://s2it.ba/images/flats/4.jpg,,
naselje-ada,sprat-5,ada-stan-33,33,3-sobni,Stan,prodano,85.41,85.41,https://s2it.ba/images/flats/5.jpg,,
naselje-ada,sprat-5,ada-stan-34,34,3-sobni,Stan,prodano,78.29,78.29,https://s2it.ba/images/flats/6.jpg,,
naselje-ada,sprat-5,ada-stan-35,35,1-sobni,Stan,prodano,44.58,44.58,https://s2it.ba/images/flats/7.jpg,,
nova-varos,podrum,nv-pm-01,PM-1,Parking mjesto,Parking mjesto,prodano,13.96,13.96,https://s2it.ba/images/nvaros/gar_tloc_01.jpg,,
